모집 시작일,프로젝트 명,모집 마감일,프로젝트 분야,우선 순위,예상 금액,예상 기간,지원자 수,관련 기술
2026.3.10,B2B 패키징 플랫폼 도면 자동화 및 실시간 견적 시스템 신규 구축,2026.3.24,웹,,0,300,0,
2026.3.11,이카운트 ERP 연동 GCP 데이터 파이프라인 및 AI 업무 자동화 시스템 구축,2026.3.25,웹 · 안드로이드 · iOS · 기타,,40000000,90,23,
2026.3.10,연예인/인플루언서 글로벌 매칭 플랫폼 구축,2026.3.24,웹,"일정 준수, 금액, 산출물 완성도",90000000,120,24,"React,PostgreSQL,CSS,Python,HTML,AWS"
2026.3.11,보급률 데이터 기반 AI Agent 및 대시보드 구축,2026.3.25,PC 프로그램,,50000000,120,22,
2026.3.10,Windows OEM Recovery Tool 개발 ,2026.3.24,PC 프로그램 · 기타,"산출물 완성도, 금액, 일정 준수",30000000,60,3,
2026.3.10,신규 기업 로고 및 명함 디자인,2026.3.12,기타,산출물 완성도,500000,3,4,"Adobe Photoshop,Illustrator,Figma"
2026.3.10,축산물 쇼핑몰 UI/UX 디자인 리뉴얼 및 다채널 상세페이지 제작,2026.3.24,웹 · 기타,,8000000,60,28,
2026.3.10,다중 센서 연동 로우데이터 수집 장치 PoC 개발,2026.3.24,임베디드 · 기타,,9000000,45,17,
2026.3.10,스마트글래스 연동 AR 뷰티 시술 가이드 솔루션 개발,2026.3.24,안드로이드 · iOS · 기타,"일정 준수, 산출물 완성도, 금액",50000000,120,8,AR
2026.3.10,행사 운영 O2O 플랫폼 와우플래너 MVP 개발,2026.3.24,웹 · 안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",20000000,150,25,
2026.3.10,러닝 플랫폼 갤럭시 워치 전용 앱 개발 ,2026.3.24,안드로이드,"일정 준수, 금액, 산출물 완성도",15000000,60,21,
2026.3.10,신규 랜덤박스 웹앱 플랫폼 및 관리자 시스템 개발,2026.3.24,웹 · 안드로이드 · iOS,"산출물 완성도, 일정 준수, 금액",60000000,80,59,
2026.3.10,실시간 디지털 코드 발송 및 다중 필터링 기반 커머스 플랫폼 개발,2026.3.23,웹,"산출물 완성도, 일정 준수, 금액",200000000,180,17,React
2026.3.10,CS 고객 관리 CRM 시스템 구축,2026.3.24,웹 · PC 프로그램,"산출물 완성도, 금액, 일정 준수",10000000,90,51,
2026.3.10,갤러리 플랫폼 기획 및 UI/UX 디자인,2026.3.24,웹,,800000,10,11,
2026.3.9,선거 후보자 프로필 및 공약 홍보 웹페이지 구축,2026.3.23,웹,,500000,3,38,
2026.3.9,글로벌 데이팅 소셜 디스커버리 앱 개발,2026.3.20,안드로이드 · iOS,"산출물 완성도, 일정 준수, 금액",20000000,90,20,"Firebase,Flutter"
2026.3.9,영어 원서읽기 학습 웹 플랫폼 재구축,2026.3.23,웹,,20000000,100,22,
2026.3.9,급여/4대보험 자동화 계산기 PC 프로그램 구축,2026.3.23,PC 프로그램,,0,60,35,
2026.3.9,부동산 분양 현장 홍보 웹사이트 구축,2026.3.23,웹,,15000000,30,56,
2026.3.9,React Native 기반 팬덤 플랫폼 개발,2026.3.23,웹 · 안드로이드 · iOS,"산출물 완성도, 일정 준수, 금액",30000000,90,34,
2026.3.9,AI 기반 일기 분석 및 가치관 시각화 반응형웹 MVP 기획,2026.3.20,웹,"일정 준수, 산출물 완성도, 금액",4000000,30,19,
2026.3.9,입점형 라이브 커머스 플랫폼 구축,2026.3.23,웹,"금액, 산출물 완성도, 일정 준수",30000000,60,19,
2026.3.9,심리검사 서비스 프로토타입 개발,2026.3.23,웹,,5000000,30,77,
2026.3.9,이카운트 ERP 실시간 연동 기반 자재 전문 B2B/B2C 독립형 쇼핑몰 구축,2026.3.23,웹,,50000000,120,3,"Node.js,next.js,React"
2026.3.9,신규 랜덤박스 웹앱 플랫폼 및 관리자 시스템 개발,2026.3.23,웹 · 안드로이드 · iOS,"산출물 완성도, 일정 준수, 금액",60000000,80,0,
2026.3.9,AI 자세 추정 기술 기반 필라테스 회원 체형 분석 서비스 구축,2026.3.10,웹 · 안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",30000000,300,15,
2026.3.9,어린이 안전 교육용 VR 콘텐츠 유니티 개발,2026.3.22,기타,"산출물 완성도, 일정 준수, 금액",8000000,30,8,
2026.3.9,AI 기반 다국어 그림책 제작 웹 플랫폼 구축,2026.3.23,웹,"산출물 완성도, 금액, 일정 준수",40000000,90,34,"Docker,TensorFlow,AWS,Python,PyTorch,Node.js,Git,React,express.js,MongoDB"
2026.3.9,의료 서비스 SaaS 플랫폼 글로벌 상용화 구축,2026.3.23,웹 · PC 프로그램,"일정 준수, 산출물 완성도, 금액",100000000,120,19,"Python,RDBMS,React,Node.js,Nestjs,next.js"
2026.3.9,엑셀 기반 RnD 정보 DB의 웹 기반 검색 및 조회 시스템 구축,2026.3.20,웹,,15000000,60,86,
2026.3.6,자전거 커뮤니티 및 중고 거래 플랫폼 앱 개발,2026.3.9,안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",20000000,90,61,
2026.3.6,프랜차이즈 가맹모집 랜딩페이지 디자인 리뉴얼 및 기능 개선,2026.3.20,웹,"산출물 완성도, 금액, 일정 준수",1000000,7,16,WordPress
2026.3.9,사주 명리학 기반 AI 리포트 자동화 웹 구축,2026.3.23,웹,,15000000,60,46,"AWS,Python,Node.js,React,express.js,MongoDB"
2026.3.6,이벤트를 위한 미니게임 프로모션 웹사이트 구축,2026.3.6,웹,"일정 준수, 산출물 완성도, 금액",15000000,45,29,
2026.3.5,공간 큐레이팅 플랫폼 앱 패키징,2026.3.19,안드로이드 · iOS,,3000000,15,48,
2026.3.6,워드프레스 기반 차량 맞춤 엔진오일 추천 검색 기능 개발,2026.3.6,웹 · PC 프로그램,"산출물 완성도, 일정 준수, 금액",4000000,30,1,워드프레스
2026.3.5,당진발전본부 현장 안전관리 정보 공유 키오스크 SW 개발,2026.3.19,PC 프로그램,"산출물 완성도, 일정 준수, 금액",5000000,60,21,
2026.3.5,서비스 카테고리 2D 아이콘 85개 디자인,2026.3.19,안드로이드 · iOS,"산출물 완성도, 일정 준수, 금액",3000000,30,29,Figma
2026.3.9,농기계 정비관리 시스템 구축,2026.3.23,웹 · 안드로이드 · iOS · PC 프로그램,"산출물 완성도, 일정 준수, 금액",0,365,11,
2026.3.5,모바일 소개팅/매칭 앱 UI/UX 디자인,2026.3.19,안드로이드 · iOS,"산출물 완성도, 일정 준수, 금액",2000000,30,27,Figma
2026.3.4, Java 기반 그룹웨어 재개발,2026.3.18,웹,,0,180,3,Java
2026.3.4,브랜드 입점형 온라인 팝업스토어 Cafe24 기반 구축,2026.3.13,웹,,10000000,50,25,Cafe24
2026.3.4,지역 기반 콘텐츠 공유 커뮤니티 플랫폼 구축,2026.3.18,웹,"산출물 완성도, 금액, 일정 준수",50000000,120,1,Java
2026.3.5,QR 기반 품질 신고 및 관리 시스템 구축,2026.3.19,웹,,0,60,62,
2026.3.6,휴대용 방사선 측정기(Survey Meter) 회로/기구 설계/시제품 개발,2026.3.20,임베디드,,17500000,80,4,
2026.3.5,비개발자 AI 유지보수 최적화 제조업 ERP 구축,2026.3.18,웹,"금액, 산출물 완성도, 일정 준수",0,90,19,"TypeScript,PostgreSQL,Tailwind CSS,TailwindCSS,React,supabase,Vite"
2026.3.4,앱 설치 유도 딥링크 적용 개발,2026.3.18,안드로이드 · iOS,"금액, 산출물 완성도, 일정 준수",500000,3,1,"React,Android,iOS"
2026.3.6,순간 냉/온 정수기 임베디드 펌웨어 개발 및 PCB 회로 설계,2026.3.20,임베디드,,12000000,60,11,
2026.3.6,사회복지 NGO 공식 홈페이지 기획 및 디자인,2026.3.20,웹,"산출물 완성도, 금액, 일정 준수",4000000,30,41,
2026.3.4,당진발전본부 현장 안전관리 정보 공유 키오스크 SW 구축 및 HW 납품,2026.3.5,PC 프로그램,"산출물 완성도, 일정 준수, 금액",0,60,12,
2026.3.5,공공기관 SI프로젝트 제안서 디자인(상주 필수),2026.3.18,기타,"업무 능력, 예산 범위, 근무 시작일",1500000,7,5,
2026.3.4,MMORPG Unity 클라이언트 MVP 개발,2026.3.18,PC 프로그램,,4000000,30,14,
2026.3.4,솔루션 기반 협회 홈페이지 신규 구축,2026.3.18,웹,"금액, 산출물 완성도, 일정 준수",4000000,60,54,
2026.3.4,카페24 기반 B2C 브랜드 자사몰 구축,2026.3.18,웹,"산출물 완성도, 일정 준수, 금액",8000000,30,28,Cafe24
2026.3.4,리워드 앱  퀴즈 미션 광고 페이지 구축 및 연동,2026.3.18,웹,,10000000,15,58,
2026.3.4,"방역 서비스 중개 및 매니저 관리 플랫폼(Android, iOS, Admin) 구축",2026.3.18,안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",30000000,90,69,
2026.3.9,원격 로봇 제어용 보드 및 펌웨어 개발 ,2026.3.17,임베디드,"금액, 산출물 완성도, 일정 준수",10000000,30,5,"관리자 페이지 개발,PCB 설계,임베디드 C,하드웨어 테스트 자동화,생산 공정 모니터링,펌웨어 개발"
2026.3.3,레스토랑 브랜드 다국어 홈페이지 제작,2026.3.12,웹,,20000000,60,1,
2026.3.3,레스토랑 브랜드 다국어 홈페이지 제작,2026.3.3,웹,,20000000,60,0,
2026.3.3,AI(RAG) 기반 멘탈 케어 캘린더 앱 개발 ,2026.3.17,웹,"산출물 완성도, 일정 준수, 금액",25000000,90,42,
2026.3.3,카페24 기반 커뮤니티형 커머스 모바일 웹 및 앱 구축,2026.3.6,웹 · 안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",20000000,60,1,
2026.3.4,사업 관리 업무용 시스템 UI 디자인,2026.3.13,웹,,4000000,40,35,Figma
2026.3.3,정비관리 Android 앱 프런트엔드 개발,2026.3.4,안드로이드,,5000000,30,47,
2026.3.3,물류기업 및 병원 홈페이지 2건 제작,2026.3.10,웹,,4500000,30,1,"imweb,Webflow"
2026.3.3,산업용 Actuator 유지보수용 QR/BLE 모바일 시스템 구축,2026.3.11,안드로이드 · iOS,,0,100,20,
2026.3.3,C# 서버 및 유니티 간 소켓 통신 끊김 현상 디버깅,2026.3.17,PC 프로그램,,1000000,5,10,
2026.3.3,3D 전시 및 AI 기반 글로벌 아트 커머스 플랫폼 개발,2026.3.17,웹,"산출물 완성도, 금액, 일정 준수",60000000,120,29,"Rhino,Illustrator,Adobe Photoshop,KeyShot,Figma,Lightroom"
2026.3.3,글로벌 생명과학 플랫폼 웹사이트 구축,2026.3.17,웹,"산출물 완성도, 일정 준수, 금액",3000000,30,46,
2026.3.3,제조업 기업 홈페이지 신규 구축,2026.3.4,웹,,7000000,60,78,
2026.3.3,IoT 스마트 링 연동 호텔 어메니티 관제 플랫폼 구축,2026.3.17,웹 · 안드로이드 · iOS,,45000000,120,40,"React Native,AWS,Flutter,React,Node.js,Figma"
2026.3.3, 개정 토플 대비 AI 자동 채점 시스템 구축,2026.3.10,웹,,30000000,60,38,
2026.3.3,유튜브 / 인스타그램 크롤러 프로그램 개발,2026.3.13,PC 프로그램,"산출물 완성도, 금액, 일정 준수",5000000,40,31,
2026.3.3,Xconda AI 플랫폼 기능 개선 및 고도화,2026.3.13,웹,"산출물 완성도, 일정 준수, 금액",6000000,30,12,"Firebase,Vue.js,nuxt,TypeScript,TailwindCSS,cloudflare,PortOne,Node.js,nuxt.js,pinia"
2026.3.3,회원 등급 기반 매칭 및 소개팅 앱개발,2026.3.17,안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",20000000,90,45,
2026.2.27,스토리플로우(StoryFlow) 플랫폼 구축(MVP 버전),2026.3.10,웹,"금액, 산출물 완성도, 일정 준수",40000000,90,45,
2026.3.3,전자출입 등하교 알림 서비스 자체 Push 서버 구축,2026.3.17,안드로이드 · iOS,,5000000,30,27,
2026.2.27,산후조리원 실시간 예약 시스템 및 반응형 홈페이지 구축,2026.3.6,웹,"일정 준수, 금액, 산출물 완성도",4800000,15,86,
2026.2.27,비정형 발주서(Excel/Image) 인식 및 거래명세서 자동화 솔루션,2026.3.6,PC 프로그램,"산출물 완성도, 금액, 일정 준수",20000000,90,51,Windows
2026.3.6,K-뷰티 역직구 플랫폼 구축,2026.3.12,웹 · 안드로이드 · iOS,"금액, 산출물 완성도, 일정 준수",100000000,120,36,
2026.2.26,QR 기반 시간외근무 기록 시스템 개발,2026.3.12,웹 · 기타,,1000000,14,38,
2026.2.27,비영리 단체 소개 및 줌 신청 웹사이트 구축,2026.3.13,웹,,1500000,15,64,
2026.2.26,골프 앱 내 캐주얼 보드게임 UI/UX 기획 및 디자인,2026.3.12,웹 · 안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",3000000,20,18,Figma
2026.2.26,인테리어 디자인 콘텐츠 개인화 추천 알고리즘 개발 및 서비스 적용,2026.2.27,웹,,40000000,120,14,"PHP,Vue.js,PostgreSQL,JavaScript,Node.js"
2026.2.26,기존 백엔드 연동 네이티브 앱  UI/UX 및 프론트엔드 개발,2026.2.27,안드로이드 · iOS,"일정 준수, 산출물 완성도, 금액",15000000,45,39,
2026.2.26,일본인 관광객 대상 K-뷰티/체험 매칭 플랫폼(앱) 구축,2026.3.12,안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",38000000,90,68,
2026.2.26,사이버 위협 인텔리전스(CTI) 통합 플랫폼 구축,2026.3.12,웹 · PC 프로그램 · 기타,,0,480,14,
2026.2.26,글로벌 스트리밍 플랫폼 MVP 구축 ,2026.2.27,웹,,30000000,90,18,
2026.2.26,Xconda AI 플랫폼 기능 개선 및 고도화,2026.2.27,웹,"산출물 완성도, 금액, 일정 준수",6000000,30,7,"Firebase,TailwindCSS,nuxt,pinia,cloudflare,TypeScript,PortOne,Node.js,Vue.js"
2026.2.26,일렉기타 브랜드 상세페이지 리뉴얼,2026.3.12,기타,"산출물 완성도, 일정 준수, 금액",3000000,14,18,"기획,촬영,Adobe Photoshop,Adobe Illustrator,Figma"
2026.2.25,IT 솔루션 기업 제품 소개 및 홍보용 반응형 홈페이지 구축,2026.3.11,웹,"산출물 완성도, 금액, 일정 준수",5000000,30,81,
2026.2.26,마이비즈링 서비스 웹 및 스마트허브 정산 관리 시스템 구축,2026.3.12,웹,,30000000,90,30,
2026.2.25,지역 기반 반려동물 분양 플랫폼 구축,2026.3.11,안드로이드 · iOS,,50000000,90,105,
2026.2.26,중장년층 대상 AI 코칭 및 안전 알림 앱 구축,2026.3.12,웹 · 안드로이드 · iOS,,40000000,90,64,
2026.2.27,입찰견적용 AI Agent 개발 PoC,2026.3.11,PC 프로그램,"산출물 완성도, 일정 준수, 금액",3000000,21,31,
2026.2.25,Keycloak 기반 통합 인증(SSO) 및 회원·동의 관리 시스템 구축,2026.3.4,웹,,0,60,17,
2026.3.3,일본 지사 광고 운영 ERP 및 리포트 통합 시스템 구축,2026.3.17,웹,,70000000,180,34,"Java,Spring"
2026.2.25,글로벌 스타트업 육성 프로그램 홈페이지 UI/UX 리뉴얼 및 개발,2026.3.10,웹,,20000000,30,60,"Figma,React"
2026.3.3,코인 국내외 거래소 차익 거래 프로그램 개발,2026.3.17,웹 · PC 프로그램,"산출물 완성도, 금액, 일정 준수",2500000,14,30,
2026.2.25,외식 브랜드 직영 매장 통합 관리(ERP) 시스템 구축,2026.3.11,웹 · 안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",80000000,180,31,
2026.3.3,AI 기반 뷰티/패션 가상 피팅(VTO) 및 숏폼 영상 생성 플랫폼 구축,2026.3.17,웹 · 안드로이드 · iOS · PC 프로그램 · 기타,"산출물 완성도, 금액, 일정 준수",70000000,120,40,
2026.2.25,유통업체 전용 커스텀 ERP 시스템 구축,2026.3.11,웹 · PC 프로그램,,50000000,150,41,
2026.2.25,안전모니터링 관제시스템 수정 및 기능 개선,2026.3.11,웹 · 기타,"금액, 일정 준수, 산출물 완성도",5000000,10,20,"Node.js,React,Python,MSSQL"
2026.2.24,Shopify 상품 업로드 및 재고 자동화 구축(Stock Sync/Make.com),2026.3.9,웹,,2500000,14,17,
2026.3.3,Storeganise API 연동 백엔드 서버 개발,2026.3.17,웹,,6000000,30,40,"JavaScript,MSSQL,Node.js"
2026.2.24,기후변화 피해비용 산정 통합모형 사이트 디자인,2026.3.10,웹,"산출물 완성도, 금액, 일정 준수",4500000,120,39,
2026.2.24,소형 로드셀 저울 계측 알고리즘 개발,2026.2.27,기타,,3000000,60,4,STM32
2026.2.25,웹 페이지 모바일/태블릿 반응형 전환 디자인 및 퍼블리싱,2026.2.26,웹,,1000000,7,19,
2026.2.24,외국인 대상 다국어 커머스 플랫폼 및 주문 자동화 시스템 구축,2026.3.10,웹 · 안드로이드 · iOS,,90000000,90,29,
2026.2.24,뱅킹 앱 활성화를 위한 인앱 캐릭터 육성 게임(게이미피케이션) 서비스 상세 기획,2026.3.10,안드로이드 · iOS · 기타,"산출물 완성도, 금액, 일정 준수",18000000,30,25,
2026.2.24,Flutter 기반 소셜 앱 블루투스 근거리 매칭 기능 추가 개발,2026.3.10,웹 · 안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",20000000,90,37,"Bluetooth,BLE"
2026.2.26,AI 기반 미술품 이력 관리 플랫폼 구축,2026.2.26,웹 · 기타,,50000000,90,1,"KeyShot,Adobe Photoshop,Illustrator,Rhino,Figma"
2026.2.24,마이피 웹앱 랜딩페이지 제작,2026.2.27,안드로이드 · iOS,,3800000,40,1,
2026.2.24,마아피 앱 QA,2026.2.27,안드로이드 · iOS,,5700000,40,1,
2026.2.24,외국인 대상 다국어 커머스 플랫폼 및 주문 자동화 시스템 구축,2026.2.24,웹 · 안드로이드 · iOS,,100000000,90,1,
2026.2.24,이카운트 ERP 프로세스 개선 및 네이버웍스 연동 기획,2026.3.10,웹,,5000000,30,23,
2026.2.24,암호화폐 거래소 차익 비교 및 알림 발송,2026.3.3,웹,,3000000,14,47,
2026.2.24,태봉그룹(태봉광업·태봉파일) 패밀리 홈페이지 제작,2026.3.6,웹,,0,60,62,
2026.2.24,Shopify 상품 업로드 및 재고 자동화 구축(Stock Sync/Make.com),2026.2.24,웹,,2500000,14,2,
2026.2.25,1인칭 시청각 데이터 기반 Agentic AI 서비스 및 하드웨어 연동 앱 구축,2026.2.27,안드로이드 · iOS · 기타,"산출물 완성도, 금액, 일정 준수",80000000,90,18,
2026.2.23,쿠팡 API 연동 재고 관리 및 발주 자동화,2026.3.9,웹 · PC 프로그램,,2000000,30,34,
2026.2.23,보고서(문서) 디자인,2026.3.9,기타,,5000000,60,40,
2026.2.24,AI 기반 여행사 견적/정산/가이드 배정 자동화 시스템 구축,2026.3.10,웹,"산출물 완성도, 일정 준수, 금액",0,100,38,
2026.2.23,자사 ERP 시스템 구축 Java/Spring Boot B/E 개발 지원,2026.2.26,웹,"일정 준수, 산출물 완성도, 금액",20000000,120,27,"Spring Boot,Java"
2026.2.25,QR 연동 영상 피드백 모바일 앱 구축,2026.3.11,안드로이드 · iOS,"산출물 완성도, 금액, 일정 준수",35000000,90,57,"Git,MongoDB,AWS S3,React Native,Firebase Cloud Messaging,express.js,Node.js"
2026.3.4,설문 기반 영양제 추천 기능 구축,2026.3.18,웹,"산출물 완성도, 금액, 일정 준수",10000000,45,42,"AWS,stripe api,ADOBE XD,express.js,React,Node.js,Figma,MongoDB"
2026.2.24,.NET 프레임워크 버전 상향 및 시스템 고도화,2026.2.27,PC 프로그램 · 기타,"산출물 완성도, 금액, 일정 준수",30000000,90,31,"Syncfusion,DevExpress,C#,FarpointSpread,Crystal Report,grapecity,.Net"
2026.2.23,이커머스 채널 유지/보수 에셋 디자인(월 30~60만 원 예상),2026.2.25,기타,"일정 준수, 산출물 완성도, 금액",450000,60,8,"Photoshop,Figma"
2026.2.23,Linux 기반 한컴 웹오피스 연동 (건별 계약),2026.2.24,웹 · PC 프로그램,,2800000,365,10,Linux
2026.2.23,도매매 API 연동 쇼핑몰 상품 동기화 및 통합 관리 프로그램 개발,2026.2.26,웹,"일정 준수, 산출물 완성도, 금액",29000000,70,14,
2026.2.25,중국인 관광객 대상 제주도 관광 정보 플랫폼 개발,2026.3.11,웹 · 안드로이드 · iOS,"금액, 산출물 완성도, 일정 준수",35000000,90,71,
2026.2.23,필라테스 센터 내부용 강사 스케줄 예약 및 정산 시스템 개발,2026.3.9,웹,,7000000,30,142,
2026.2.23,크립토 카드 결제 및 내역 조회 앱 신규 구축,2026.3.9,안드로이드 · iOS,,30000000,90,21,"백엔드 서버,UIUX디자인,어드민 페이지,모바일앱,API연동,모바일앱디자인,웹훅"
2026.2.23,클라우드 기반 전자차트 SaaS 플랫폼 MVP 개발,2026.3.4,웹 · 안드로이드 · iOS,"산출물 완성도, 일정 준수, 금액",40000000,170,45,
2026.3.3,학교 그룹운동(GX) 로잉머신 WiFi Mesh 기반 통합 관제 시스템 개발,2026.3.17,웹 · 임베디드 · 기타,"산출물 완성도, 금액, 일정 준수",45000000,100,20,
2026.2.23,무선 분리형 키보드 PCB 회로 설계,2026.2.26,임베디드,"산출물 완성도, 일정 준수, 금액",3000000,10,0,"Altium Designer,KiCAD ,OrCAD"
2026.2.25,생산 및 고객관리 통합 스마트공장 시스템 개발,2026.3.11,웹 · 안드로이드,"금액, 산출물 완성도, 일정 준수",30000000,90,36,
2026.2.20,AI 기반 사용자 맞춤형 디지털 복지 앱 구축,2026.3.6,안드로이드 · iOS,,20000000,180,34,
2026.2.20,화장품 용기 사출 불량 검출을 위한 비전 AI 시스템 개발 및 현장 구축,2026.3.6,PC 프로그램,,0,90,26,
2026.2.20,홈페이지 신규 구축 웹 디자인 및 퍼블리싱,2026.3.3,웹,"산출물 완성도, 일정 준수, 금액",2500000,15,34,
2026.2.20,AI 기반 사용자 맞춤형 디지털 복지 앱 구축,2026.2.20,안드로이드 · iOS,,60000000,90,6,
2026.2.20,AI 기반 맞춤형 코칭 챗봇 웹 서비스 구축,2026.2.23,웹,,30000000,120,43,
2026.2.20,기존 CRM 연동형 AI 헤드헌팅 챗봇 및 관리자 분석 시스템 구축,2026.3.6,웹,"산출물 완성도, 금액, 일정 준수",70000000,100,34,"Spring Boot,Java,MySQL,AWS"
2026.2.20,LCL/FCL 내륙 운송비 산출 웹 플랫폼 및 AI 파싱 기능 개발,2026.3.6,웹,"산출물 완성도, 금액, 일정 준수",0,60,39,
2026.2.20,워드프레스 Houzez 테마 커스텀,2026.2.23,웹,"산출물 완성도, 금액, 일정 준수",3000000,30,7,"CSS,WordPress,PHP,MySQL,JavaScript,HTML,jQuery"
2026.2.23,React Native 카메라 커스텀 및 AI 분석 파이프라인 구축,2026.3.6,안드로이드 · iOS,"일정 준수, 산출물 완성도, 금액",5000000,21,13,
2026.2.20,사립 유치원 전용 회계 기장 및 에듀파인 자동 전송 시스템 구축,2026.3.4,웹 · PC 프로그램 · 기타,"산출물 완성도, 일정 준수, 금액",25000000,90,53,
2026.2.20,지역 기반 콘텐츠 공유 커뮤니티 플랫폼 구축,2026.2.24,웹,"산출물 완성도, 금액, 일정 준수",50000000,120,81,Java
2026.2.20,MOAVO Habit (모아보 해빗) 앱 개발(MVP),2026.3.5,안드로이드 · iOS,,15000000,90,39,Flutter
2026.2.20,AI 멀티에이전트 기반 비상장 기업 MnA 스크리닝 시스템 구축,2026.3.5,웹,"산출물 완성도, 일정 준수, 금액",300000000,180,27,
2026.2.25,앱 설치 유도 딥링크 적용 개발,2026.3.5,안드로이드 · iOS,"금액, 산출물 완성도, 일정 준수",500000,3,6,"React,iOS,Android"
2026.2.20,심리상담센터 디자인 및 퍼블리싱 수정,2026.3.6,웹,,1000000,10,25,
2026.2.20,솔루션 기반 B2B 컨설팅 기업 공식 홈페이지 구축,2026.3.4,웹,"산출물 완성도, 금액, 일정 준수",5000000,30,49,
2026.2.19,식당 미리주문/픽업 플랫폼 MVP 구축,2026.3.5,웹 · 안드로이드 · iOS,"금액, 산출물 완성도, 일정 준수",30000000,90,86,
