실제 최종 계약 체결일,계약 명,계약 형태,최초 계약 금액,최초 계약 기간(추정),현재 계약 금액,현재 계약 기간,모집 금액
2026.3.12,삼성전자MCM GoLang 백엔드 개발(송재천),삼자 위임 양면 계약,4519062,25,4519062,25,8000000
2026.2.6,QR코드 연동 프로모션 웹페이지 개발,삼자 양면 계약,18000000,42,18000000,43,15000000
2026.3.4,ComfyUI API 연동 CRM 웹서비스 개발,삼자 양면 계약,12000000,53,0,0,20000000
2026.2.5,주문 접수 자동화 및 자동 송장 출력 기능 개발,삼자 양면 계약,2000000,66,2000000,67,5000000
2026.2.5,임직원 전용 입점형 폐쇄몰 및 포인트 정산 시스템 개발,삼자 양면 계약,40000000,109,36000000,110,40000000
2026.2.11,카카오톡 메시지 자동 발송 윈도우 프로그램 개발,삼자 양면 계약,5500000,22,5500000,28,3000000
2026.2.4,FPGA 기반 신호처리 알고리즘 임베디드 개발 (재택근무),삼자 양면 계약,3500000,33,3500000,34,3500000
,LLM 챗봇 도입 구조 포함 연구소 홈페이지 구축,양자 계약,9000000,56,9000000,57,8000000
2026.2.5,기획 제안서 PPT 제작 (상주 필수),삼자 양면 계약,1100000,2,1100000,3,1000000
2026.2.9,기존 ASP 웹시스템 PHP 전환 개발,삼자 양면 계약,25000000,134,25000000,135,25000000
2026.2.4,특허법률사무소 관리 프로그램 성능 개선 및 기능 고도화,삼자 양면 계약,2000000,22,2000000,23,2000000
,React 프런트엔드 개발(퍼블리싱 포함),양자 위임 계약,13200000,58,13200000,59,6000000
2026.2.25,React/Next기반 물류 관제 시스템 프론트엔드 개발(차현우),삼자 위임 양면 계약,5100000,36,5100000,37,4000000
2026.2.3,출가체험 교육용 웹 리뉴얼 개발,삼자 양면 계약,2000000,23,2000000,23,2000000
2026.2.3,의류 커스텀 쇼핑몰 리뉴얼 구축,삼자 양면 계약,36000000,139,36000000,140,40000000
2026.2.2,기업 소개 및 제휴 제안 접수를 위한 반응형 웹사이트 구축,삼자 양면 계약,1100000,15,1100000,16,1100000
2026.2.4,공식 대리점 홈페이지 구축(GEO/SEO 특화),삼자 양면 계약,8000000,65,8000000,66,8000000
2026.2.2,임베디드 3.5인치 LCD PPT to Figma 디자인,삼자 양면 계약,500000,6,500000,7,500000
2026.2.5,스마트 매장 운영 솔루션 UX 기획(박진주),삼자 위임 양면 계약,31800000,180,31800000,181,5500000
2026.2.2,테이블오더 앱 UX 현황 분석 및 개선사항 제안,삼자 양면 계약,4000000,34,4000000,35,2000000
2026.2.20,워드프레스 Houzez 테마 커스텀,삼자 양면 계약,2000000,44,0,0,3000000
2026.2.6,React/TypeScript 기반 AI 비주얼 플랫폼 개발(김지은),삼자 위임 양면 계약,13350000,89,13011635,89,4500000
2026.2.6,건설 장비 유류 관리 및 동선 관제 시스템 개발,삼자 양면 계약,2800000,32,2800000,33,5000000
2026.2.2,묘지 이장/개장 소개 및 견적 자동 산출 홈페이지 구축,삼자 양면 계약,2500000,32,2500000,33,2500000
2026.2.2,워드프레스 기반 자율주행 SW 스타트업 영문 웹사이트 UI/UX 디자인,삼자 양면 계약,1500000,16,1500000,17,1500000
2026.2.2,O2O 자전거 정비 업체 공유 및 예약서비스,삼자 양면 계약,22000000,130,22000000,131,25000000
2026.2.2,Embedded C 기반 MCU 펌웨어 마이그레이션 및 빌드 정리(정필섭),삼자 위임 양면 계약,4500000,23,4500000,24,4500000
2026.2.3,ePUB 스트리밍 뷰어 및 구독 플랫폼 구축,삼자 양면 계약,23000000,70,23000000,71,20000000
2026.1.30,해외 고객 대상의 글로벌(영/중) 웹사이트 구축,삼자 양면 계약,3500000,6,2500000,34,2500000
2026.1.29,주문형 카페 키오스크 UI 리뉴얼(배리어프리) 디자인,삼자 양면 계약,1300000,29,1300000,30,1200000
2026.1.29,보증수리 대차 업무 전용 관리 시스템 개발,삼자 양면 계약,16363636,100,16363636,100,20000000
2026.1.29,Next 프런트엔드 개발(김윤찬),삼자 위임 양면 계약,4000000,29,4000000,31,3500000
2026.3.5,전자장비 제조 컨텐츠 디자이너 모집 (주 4일 근무/ 재택 근무)(김승준),삼자 위임 양면 계약,18000000,179,3000000,27,3000000
,외국인 전용 다국어 배달 플랫폼 유지보수 (기간 연장 가능),삼자 양면 계약,3600000,90,3600000,97,3600000
2026.1.29,kotlin/Spring Boot 기반 백오피스 개발(이종협),삼자 위임 양면 계약,66000000,333,66000000,334,5500000
2026.1.28,기존 PHP 홈페이지 퍼블리싱,삼자 양면 계약,990000,7,990000,8,1000000
2026.1.30,델파이(Delphi) 기반 LPR 시스템 제어 로직 API 모듈화 및 경량화,삼자 양면 계약,4000000,71,4000000,72,8000000
2026.2.6,하이브리드 앱 모바일 Native 파트 기능 개발(오군영),삼자 위임 양면 계약,11857142,87,11857142,88,4000000
2026.1.30,NestJS 기반 헬스케어 서비스 백엔드 개발(황창환),삼자 위임 양면 계약,20000000,119,20000000,120,5000000
2026.1.28,골프장 상품소개 영업 제안서 PPT 디자인,삼자 양면 계약,500000,3,500000,4,500000
2026.1.28,기업 홈페이지 디자인 및 콘텐츠 리뉴얼,삼자 양면 계약,3500000,34,3500000,35,3500000
2026.1.27,체외진단 의료기기 연동 결과 리포트 생성 프로그램 개발,삼자 양면 계약,10000000,67,10000000,68,10000000
2026.1.27,Bubble/Next.js 기반 운동 공간 모니터링 시스템 Python으로 재구성,삼자 양면 계약,3636364,25,3636364,26,3600000
2026.1.30,당사 물류센터에 맞는 WMS(창고관리시스템) 개발,삼자 양면 계약,38000000,1,38000000,145,40000000
2026.1.29,Flutter 기반 장정맥 인증 키오스크 클라이언트 및 관리자 앱 개발,삼자 양면 계약,20000000,71,20000000,72,15000000
2026.1.26,바이브 코딩 생성 결과물 운영 및 배포 가이드 기술 자문,삼자 양면 계약,100000,1,100000,2,100000
,기존 오픈마켓 서비스 B2B 쇼핑몰 전환 리뉴얼 개발,양자 계약,35600000,60,35600000,61,30000000
2026.1.27,기업 홈페이지 및 자사 제품 검색 및 추천 AI 챗봇 구축,삼자 양면 계약,20000000,97,20000000,98,30000000
2026.1.26,C# 게임 서버 DB 저장 오류 및 로직 수정,삼자 양면 계약,1000000,7,1000000,8,1000000
2026.1.26,1인 콜밴 회사 소개 및 예약 서비스 구축,삼자 양면 계약,9000000,67,9000000,68,8000000
2026.1.23,IT 매칭 플랫폼 로고(BI/CI) 디자인,삼자 양면 계약,900000,15,900000,16,500000
,React 기반 제조용 시스템 프론트엔드 개발 (류지환),양자 근로 계약,23200000,120,23200000,120,5000000
2026.1.26,B2B 가구 도매 주문 및 거래 관리 시스템 구축,삼자 양면 계약,10100000,64,8100000,65,20000000
2026.1.23,Unity 앱·서버 통합 상태 기술 진단,삼자 양면 계약,1000000,7,1000000,8,1000000
2026.1.23,무인 매장 관리를 위한 안드로이드 키오스크 및 웹 ERP 개발,삼자 양면 계약,40000000,129,40000000,130,40000000
2026.1.26,통신 대리점 전용 고객관리 및 업무 자동화 시스템 구축,삼자 양면 계약,27000000,93,27000000,94,30000000
2026.1.26,O2O 플랫폼 상세 기획 및 UI/UX 디자인 (김희진),삼자 위임 양면 계약,9000000,66,9000000,67,4000000
,MSSQL to Oracle DB 전환 (남종철),양자 위임 계약,11360000,40,11360000,41,독립 계약
2026.1.26,글로벌 커머스 앱/웹 구축 프로젝트 PM(황철희),삼자 위임 양면 계약,16800000,119,16800000,120,4000000
2026.1.22,수요자 맞춤 항공 웹 서비스 리디자인,삼자 양면 계약,3100000,22,3100000,23,3150000
2026.1.22,AI 안면인식 및 GPS 기반 스마트 근태/정산 관리 시스템 구축,삼자 양면 계약,85000000,129,85000000,129,85000000
2026.2.25,고객사 데이터(MariaDB)를 자사 솔루션(MySQL)에 마이그레이션,삼자 양면 계약,5000000,64,1500000,37,5000000
2026.1.22,AI 캐릭터 챗봇 앱 UX 설계 및 와이어프레임 제작,삼자 양면 계약,900000,17,900000,18,1000000
2026.1.22,온라인 강의(LMS) 및 커뮤니티 통합 플랫폼 구축,삼자 양면 계약,19000000,64,19000000,65,20000000
2026.1.21,초등 영어 교육 콘텐츠 디자인/2D 모션그래픽/퍼블리싱,삼자 양면 계약,8000000,31,8000000,32,8000000
2026.1.22,B2B 아웃소싱 중개 매칭 플랫폼 구축,삼자 양면 계약,20000000,110,20000000,131,20000000
2026.1.21,React/Next.js 기반 하이브리드 앱 프론트엔드 개발(장도현),삼자 위임 양면 계약,10500000,89,10500000,90,3500000
,제품 주문/렌탈 고객 Portal 및 내부 관리자 개발,양자 계약,55400000,139,55400000,140,300000000
2026.1.19,핸드폰 사용 금지 앱 구축,삼자 양면 계약,12000000,35,12000000,35,12000000
2026.1.19,자동차 렌트 및 리스 상담 문의 접수 웹사이트 구축,삼자 양면 계약,9460000,47,9460000,48,7000000
2026.2.9,스마트 매장 운영 솔루션 UX 기획(신민철),삼자 위임 양면 계약,31800000,180,1471407,9,5500000
2026.1.20,MES 기반 내부 ERP 시스템 및 웹사이트 리뉴얼 기획(오승호),삼자 위임 양면 계약,29999999,180,29999999,181,5000000
2026.1.16,.NET 기반 기능 수정 및 외부 시스템 연동 개발,삼자 양면 계약,700000,6,700000,6,600000
2026.1.21,iOS 멤버십 구독 및 결제 서버 동기화 시스템 구축,삼자 양면 계약,30000000,27,30000000,28,30000000
2026.1.19,일기 쓰기 기반 리워드앱 MVP 개발,삼자 양면 계약,7000000,58,7000000,58,8000000
2026.1.15,건기식 경험 공유 커뮤니티 개발,삼자 양면 계약,8000000,66,8000000,67,8000000
2026.1.29,PHP/MySQL 기반 B2B 쇼핑몰 관리자 페이지 개발 및 운영(정영훈),삼자 위임 양면 계약,32999999,180,32999999,181,5500000
2026.1.19,IoT 기기 데이터 플랫폼 및 제어 모바일앱 구축,삼자 양면 계약,100000000,143,100000000,147,100000000
2026.1.16,ESP32 및 5G 통신 연동 웨어러블 디바이스 하드웨어/펌웨어/SW 통합 구축,삼자 양면 계약,100000000,73,100000000,63,80000000
2026.1.15,기 개발된 웹 내 주얼리 관련 게시판 형태의 커뮤니티 추가 개발,삼자 양면 계약,4000000,42,4000000,43,3000000
2026.1.16,AI 챗봇 기반 강연 섭외 및 운영 자동화 시스템 구축,삼자 양면 계약,34400000,69,34400000,68,30000000
2026.1.15,현장 엔지니어 작업보고서(Job Card) 모바일 앱 및 통합 관리자 시스템 개발,삼자 양면 계약,28400000,69,28400000,70,25000000
2026.1.14,PHP/MySQL 기반 전산 기능 고도화,삼자 양면 계약,800000,5,800000,6,800000
2026.1.20,관리자 설정형 범용 웹 스크래핑 시스템 및 어드민 구축,삼자 양면 계약,9000000,67,9000000,68,8000000
2026.1.20,법무법인 채권 권리분석 업무 자동화 웹 솔루션 구축,삼자 양면 계약,20000000,93,20000000,94,20000000
2026.1.14,Next.js/워드프레스 기반 사이트 구조적 결함 해결 및 SEO 정상화,삼자 양면 계약,1900000,7,900000,8,1000000
2026.1.15,태양광 발전소 모니터링용 RTU 개발,삼자 양면 계약,38000000,113,38000000,114,20000000
2026.1.20,온라인 아트 커미션 거래 플랫폼(MVP) 개발,삼자 양면 계약,25000000,200,25000000,201,20000000
2026.1.14,자기장 효능 안내 및 위치 기반 알림 서비스 구축,삼자 양면 계약,13636364,37,13636364,38,15000000
,뷰티 추천 앱 프로세스 고도화 및 기능 개선,양자 계약,5500000,18,5500000,22,5500000
,XD 기반 통신업 UI/UX 디자인,양자 위임 계약,6800000,30,20400000,90,6500000
2026.2.3,Unity 기반 디지털트윈 클라이언트 시스템 3D 개발(이준진),삼자 위임 양면 계약,7000000,30,7000000,31,7000000
2026.1.14,사주 분석 PDF 자동 생성 및 카카오 알림톡 발송 시스템 개발,삼자 양면 계약,7000000,34,7000000,50,5000000
2026.1.12,스마트 매장 운영 솔루션 UX 기획(소준석),삼자 위임 양면 계약,30600000,180,30600000,181,4000000
2026.1.12,온도 기반 도서 리뷰 플랫폼 구축,삼자 양면 계약,9000000,67,9000000,68,15000000
,AI SaaS 서비스 웹 풀스텍 개발(주3일 근무/재택)(최경락),양자 근로 계약,5000000,59,5000000,59,2500000
2026.1.14,출판사 공모전 통합 접수/심사 플랫폼 구축,삼자 양면 계약,40000000,130,40000000,131,40000000
2026.1.16,우체국 택배 API 연동 웹 기반 운송장 출력 프로그램 개발,삼자 양면 계약,3900000,23,3900000,24,4000000
2026.1.9,서버 제어 및 웹 트리거 기반의 원격 제어 클라이언트/호스트 개발,삼자 양면 계약,18000000,64,18000000,64,12000000
2026.1.13,PHP 기반 세무 프로그램 개발 리드(조용중),삼자 위임 양면 계약,16500000,89,16500000,90,5500000
2026.1.12,MQTT/INFLUXDB/PHP WEB/AOS APP 대시보드 개발,삼자 양면 계약,19000000,64,19000000,65,20000000
2026.1.8,공식 홈페이지 React 기반 웹 퍼블리싱,삼자 양면 계약,2700000,12,2700000,13,2300000
2026.1.8,50만 유튜브 채널 영어단어 암기 모바일앱/백엔드 풀스텍 개발(김원응),삼자 위임 양면 계약,9000000,58,9000000,59,5000000
,Python/Bash 기반 AI 학습데이터 구축(이음),양자 계약,6500000,40,6500000,41,30000000
,프로젝트 컨텍스트 분석 기반 기업용 기술 문서 자동화 솔루션 구축,양자 계약,20000000,46,20000000,47,20000000
2026.1.13,머신러닝/딥러닝 모델링 역량 평가 문항 개발,삼자 양면 계약,3000000,15,3000000,16,5000000
2026.1.8,Next.js 기반 도메인 서비스 프론트엔드 재구축,삼자 양면 계약,35000000,144,35000000,145,30000000
2026.1.29,IoT 열선 원격 제어 및 CCTV 관제 앱 구축,삼자 양면 계약,15000000,87,18000000,88,20000000
2026.1.7,ChatGPT API 연동 기반 AI 서비스 MVP 개발 (핵심 기능 1~2개),삼자 양면 계약,2800000,31,2800000,32,1500000
2026.1.7,GPS 연동 및 자연어 검색이 가능한 오프라인 매장 찾기 기능 구현,삼자 양면 계약,3300000,17,3300000,18,15000000
